89.38,46.75,29.88,52.38,65.19,55.75,39.63,48.12,24.66,72.06
81.94,43.25,31.63,50.63,58.5,52.75,38.81,45.5,23.88,68.94
71.75,42.06,32.75,50.81,61.75,52.88,39.63,48.13,23.94,67.38
65.56,43.75,31.63,50.88,60,52.56,38.88,47.88,25.06,64.19
69.56,42.38,31.13,54.63,63.5,53.75,39.88,47.88,24.94,67.5
69.19,47.81,35.88,53.63,63.19,55.38,40.06,48.69,26,66.19
66.75,43.44,36.25,52.19,61.56,53.88,41,51.13,25.25,68.19
63.56,45.19,33.69,53.69,61.06,52.94,42.75,49.38,25.31,67.44
65.94,47.75,34.81,53.06,62.13,52.38,42.31,50,27.13,69
64.25,48.81,33.56,51.75,61.94,54.13,42.61,51.31,26.44,69.25
64.13,48.5,34.5,54.25,60.5,53.25,41.5,50.63,26.06,68
66.81,51.44,34.75,53.44,61.88,52.88,42.38,52.81,25.5,69.94
64.75,49.88,33.63,52.22,60.81,50.75,42.56,51.56,25.06,67.69
62.06,49.63,32.75,50.44,60,47.38,41.06,50.69,24.97,64.81
70.13,48.5,33.31,51.13,58,46.75,39.5,49.69,24.56,63.5
69.25,45.69,37.5,50.13,56.13,46,39.81,48.88,26,65.12
64.81,46.56,36.63,48,57.38,46.63,35.75,49.5,29,68.12
66.94,46.56,37.13,49.94,58.25,45.81,37.63,47.25,28.88,67.31
61.69,43,36.75,49,55.63,44.56,36.75,46.88,29.81,63.38
64.56,43.13,36.31,49.75,56.63,44.63,37.38,45.5,32,65.88
67.44,44.25,36,49.81,62,47.06,36.63,46.69,32.31,67.44
69.44,46.88,37.25,48.63,60.75,47.25,35.5,47.44,31.75,68
84.19,48.31,37.88,48.75,60.5,47.13,35,47.88,31.44,66.06
78.56,48.5,38.13,48.06,61.12,48.38,35.12,46.69,34.38,64.62
75,47.63,38,47.94,59,46.94,34.94,45.25,34.25,65.69
83.13,47.81,37.56,48.13,61,48.44,36.31,37,35,68.69
80.25,45.38,37.69,47.19,58.75,46.38,35.88,33.75,34.5,67.19
76.19,46.63,36.94,47,59.56,46.06,35.5,33.75,32,66.44
76.19,46.5,37.88,46.13,60.06,46,34.94,34,32.88,66.06
74.44,44.44,37,47.06,60.31,46.81,33.88,32.31,33.94,65.25
73.81,45.75,36.88,46.38,59.75,46,33.75,30.44,34.63,63.94
70.69,43.38,36.94,46.31,57.25,43.75,33.38,29.5,34.19,61.81
69,43.06,36.5,45.88,54.5,42.5,33.75,29,34.63,59.88
64.75,39.5,35.5,43.38,53.75,43.5,32.5,28,33.13,59
63.56,40,33.38,44.06,53.63,43.06,32.31,27,33.19,57.75
70.44,42.31,34.13,43,54.81,42.56,32.63,28.06,34.88,56.81
68.44,39.63,33.19,42.5,53.06,40.75,31.38,27.06,35.06,55.88
69.13,41.75,31,42.94,53,41.75,31,26.56,33.75,55.88
65.75,41.38,32.75,42.69,56.81,45.69,31.13,27.88,34.06,58.88
68.88,40,34,41.63,57.5,47.81,31.75,28.44,35.13,59
65.88,40.63,34.69,41.59,55.63,47.81,31.25,28.13,34.75,59.25
62.56,38.38,34.5,41.38,55.13,46,30.88,29.44,33.25,60.25
62.5,39.31,36.5,42.69,54.5,47,32.31,29.38,37.19,61.75
63.94,39.13,36,41.94,53.88,45,31.56,28.5,35.88,60.75
63.5,38.44,36,41.13,52.38,41.63,29.88,27.88,34.13,58
63.63,39.25,34.94,42.56,52.5,43.88,30.75,27.25,33.88,58.19
68.81,39.81,36.25,41.63,55.31,46.44,32,26.75,36.13,60.06
66.88,38.13,35.13,41.06,53.5,45,31.75,26.88,35.63,60.81
65.31,36.25,34.94,42.56,53,43.5,32.44,28.75,34.75,61.44
65.63,36.5,34.13,41,52.31,42.38,30.5,28.88,33.44,60.94
63.75,38.06,34.81,44.06,57,45.31,32.5,33,35.19,64
66.25,40.69,35.31,43.81,61.5,50.06,34.06,35.75,38.38,71.12
64.81,39.31,36.81,44.63,63.19,51.44,33.81,34,37.06,69.5
64.19,38.69,39.44,43.75,63.63,50.56,34.56,33,35.19,66.38
72.38,38.31,39.19,45.81,63.5,50.88,35.25,33.13,39,66.94
70.69,37.5,40.5,44,63.06,50.44,35.25,33.75,39.13,66.69
67.69,37.94,41.56,44.5,64.13,52.56,35.19,34,39.38,68
72.69,37.81,41.44,44.63,64.38,53.75,34.81,33.88,38.62,69.12
73.13,38.19,41.75,44.19,64.38,53.44,34.75,35.94,39.13,68.44
70.13,36.56,40.94,44.5,64,53.5,35.13,36.81,37.94,68.88
66.25,36.88,40.81,44.81,68.5,55.06,36.81,39,39.69,72.62
66.5,37.38,40.25,46.63,67,58,37.63,38.69,39.75,77.19
67,41.25,41.25,45.94,64.5,58.38,37.38,39.63,44.81,74.75
63.56,41.75,41.81,47,68,60.5,38.5,40,41.44,77
63.94,40.94,41.13,49.06,64.63,59.69,38.53,38.94,43.44,75.31
62.19,38.94,40,49.31,64,59.63,38.56,39.19,39.56,74.19
64.25,39.22,40.44,49.94,65.94,60.06,37,41.56,37.56,74
67.56,39.31,41,48.38,64.13,60.63,37,42.94,40.06,74.25
63.38,37.75,41.31,51.06,66.69,61.44,36.38,43,36.63,75.19
63.38,36.13,42.5,51.94,67.38,60.88,37.69,45.13,37.94,72.88
56.38,39.56,40.06,53.63,66.31,63.5,36.31,44.44,37.63,72.31
48,36.94,39.25,54.44,62.5,59.5,34.13,43.94,39.83,70.62
46.88,35.06,38.88,52.25,60.25,56.73,33.56,42.63,35.19,68.31
47.06,36.44,38.75,57.06,57.25,54.44,33.69,42,36.13,65.31
54.94,35.81,39.5,55.38,58.75,55.02,32.5,42.38,37.44,69.38
53.44,36.13,40.94,55,58.75,54.81,33.06,44.06,37.25,68.5
52.38,36.31,42.25,55.13,58.63,55.31,35.81,43.94,37.44,69.25
49.81,37.75,40.25,55.31,59.56,56.5,39,43.19,39.94,70.25
52.44,40.5,40.5,55,59,54.75,38.75,45.63,38.19,71.5
